id	region	mutation	class	equiv	rip	deep	directed	diverged_state	note
98	engine_ctrl	const1 A[1]	GAP	not_proven	internal_only	killed	killed	blocked_cycles_1:36026	blocked_cycles of engine 1 is left at 2 instead of 0 after ALU/SHL/SHR/JZ/NOT/TIME (opcodes 20-28). Only visible as a WAITPIN/WAITEVENT timeout two samples early. Kill: an ALU instruction immediately followed by a WAITPIN on a pin that never matches, with a small LIMIT; the fault-3 edge moves.
174	engine_ctrl	cnot1 A[0] ctrl 13	GAP	not_proven	not_activated	survived	killed		blocked_cycles of engine 1: bit 0 flips once the count has bit 13 set. Needs a bounded wait of >= 8192 cycles; no test blocks that long. Kill: LIMIT 0x2108 then WAITPIN on a static pin; fault 3 arrives at a different cycle.
185	engine_ctrl	cnot1 B[4] ctrl 21	GAP	not_proven	not_activated	survived	survived		wait_timer countdown of engine 2: bit 4 flips while bit 21 is set, i.e. only for WAIT n with n >= 2^21. Kill: WAIT 0x200010 followed by a pin toggle (about 2.1 M cycles of simulation), or an inductive property timer' = timer - 1.
195	engine_ctrl	cnot1 A[4] ctrl 13	GAP	not_proven	not_activated	survived	killed		Same as 174 for engine 0 (blocked_cycles): bit 4 flips when bit 13 is set; needs a bounded wait of >= 8192 cycles. The mutated count oscillates by 16, so LIMIT must not be a multiple of 32 (0x2100 does not kill it, 0x2108 does).
268	engine_ctrl	cnot1 D[2] ctrl 3	GAP	not_proven	not_activated	survived	killed		repeat_count_0 (engine 3), D input: bit 2 flips when bit 3 is set. Needs COUNT n with bit 3 set (n >= 8) and a LOOP on engine 3; iteration count changes. Never happened in the suite.
271	engine_ctrl	const0 Y[13]	GAP	not_proven	not_activated	survived	killed		repeat_count of engine 1 stuck below 8192 (bit 13 forced 0). Kill: COUNT 0x2000 + LOOP on engine 1; loop exits early (visible in pin timing or the completed-instruction count).
277	engine_ctrl	const0 B[20]	EQ-proven	equivalent	not_activated	survived	survived		Bit 20 of pc+1 on the instruction-execution path, which is only taken while pc < image_length (a 16-bit register), so the bit is always 0.
279	engine_ctrl	const0 A[22]	EQ-manual	not_proven	not_activated	survived	survived		Clears blocked_cycles bit 22 on the XFER/FAULT hold path. blocked_cycles is nonzero only while a WAITPIN/WAITEVENT is issuing (every other completed instruction resets it; fault is followed by START, which resets it), so the path never sees a nonzero value.
297	engine_ctrl	cnot1 A[17] ctrl 20	GAP	not_proven	not_activated	survived	survived		completed_instructions of engine 1: bit 17 flips when bit 20 is set; needs >= 2^20 completed instructions before READ_SELECT 5. Long run (about 1 M cycles) or an inductive counter property.
313	engine_ctrl	cnot1 A[1] ctrl 23	GAP	not_proven	not_activated	survived	survived		completed_instructions of engine 1: bit 1 flips when bit 23 is set; needs >= 2^23 instructions before READ_SELECT 5. Practical only with a formal counter property (count' = count + finished).
396	engine_ctrl	const0 Y[10]	GAP	not_proven	not_activated	survived	survived		completed_instructions of engine 3: bit 10 forced 0 on one opcode's update path. Needs >= 1024 completed instructions including that opcode, then READ_SELECT 5.
423	engine_ctrl	const0 A[15]	GAP	not_proven	not_activated	survived	killed		completed_instructions_0 (engine 2): bit 15 cleared on the hold path while halted; the count is readable while halted. Kill: run >= 32768 instructions, HALT, READ_SELECT 5.
436	engine_ctrl	cnot0 Y[4] ctrl 16	GAP	not_proven	internal_only	survived	killed	blocked_cycles_1:14025	blocked_cycles of engine 1 left at 16 after TIME (and FAULT-class paths). Only visible as a WAITPIN/WAITEVENT timeout 16 samples early. Kill: TIME then a WAITPIN that times out.
451	engine_ctrl	cnot1 Y[12] ctrl 6	GAP	not_proven	not_activated	survived	killed		repeat_count_0 (engine 3): bit 12 flips whenever bit 6 is set. Kill: COUNT 72 + LOOP on engine 3; iteration count wrong. The suite never used COUNT >= 64 on engine 3.
478	engine_ctrl	cnot0 A[5] ctrl 12	GAP	not_proven	internal_only	survived	killed	blocked_cycles_2:67341	blocked_cycles_2 (engine 2) left at 32 after opcodes 21-28. Kill: XOR/AND/OR/SHL/SHR/JZ/NOT/TIME immediately followed by a WAITPIN that times out.
565	host	inv B[0]	EQ-manual	not_proven	internal_only	survived	survived	image_loaded_2:113642	Reset value of image_loaded_2 becomes 1. The value is only used while image_writing is set, which only BEGIN sets, and BEGIN zeroes image_loaded; so the reset value is never used.
570	host	inv B[8]	EQ-manual	not_proven	internal_only	survived	survived	image_length_0:19882	BEGIN sets image_length_0 to 0x100 instead of 0. The length is only used by a running engine, and START needs a COMMIT, which overwrites it.
696	host	const0 A[5]	GAP	not_proven	not_activated	survived	killed		OWN overlap check ignores engine 1 owning pin 5. Kill: engine 1 owns pin 5; another engine then OWNs pin 5; must be rejected with the sticky host fault and unchanged ownership.
747	host	cnot1 A[0] ctrl 2	EQ-proven	equivalent	not_activated	survived	survived		Read-nibble counter compare for case item 0: flipping bit 0 only when bit 2 is set can never make the value 0.
852	host	cnot1 Q[7] ctrl 6	GAP	not_proven	not_activated	survived	killed		image_length_1 (engine 1): bit 7 of the register output is XORed with bit 6, and the hold path feeds the mutated value back, so a committed length of exactly 64 alternates 64/192 every cycle. Kill: a full 64-word image that falls through on a cycle where the length reads 192 (fault 2 expected at PC 64; the mutant runs on). With 64 NOPs the fall-through lands on a 64 cycle; a WAIT 1 prefix shifts it.
